Age,Income,LoanAmount,CreditScore,Approved
56,31751.94,77243.66,821,0
69,51958.75,66247.4,572,0
46,58693.51,63394.84,701,0
32,115762.93,190497.93,482,0
60,75586.67,185442.23,787,0
25,46546.73,135005.03,423,0
38,54722.88,131824.55,713,0
56,19111.74,50417.11,471,0
75,79563.78,159737.08,587,0
36,67701.69,175247.15,734,0
40,89866.29,221165.63,412,0
28,45614.25,65796.9,421,0
28,52261.78,98250.87,843,1
41,38535.33,96796.24,521,0
70,27611.08,16984.73,338,0
53,36274.56,91419.08,796,0
57,19738.96,18647.8,532,0
41,77443.41,138368.84,829,0
20,16523.83,41651.43,448,0
39,135411.19,153631.13,696,1
70,20291.08,22614.78,601,0
19,103771.26,156374.05,659,0
41,31131.42,85194.47,537,0
61,64894.39,32519.03,535,1
47,33650.28,92654.62,502,0
55,113195.77,100123.65,555,1
19,50103.76,149069.51,534,0
38,83854.72,242098.42,644,0
50,50920.66,88433.3,833,1
29,58482.33,104203.86,765,1
75,66706.21,113658.93,840,1
39,37633.05,78600.74,512,0
61,25844.53,18783.92,762,1
42,25570.59,14870.45,735,1
66,50282.95,32395.16,582,1
44,38394.9,61850.86,762,0
59,16765.38,19931.86,706,0
45,63352.56,130195.78,387,0
33,26655.62,79463.21,343,0
32,27442.21,40225.0,760,1
64,48011.07,92882.38,577,0
68,31255.24,48102.11,720,1
61,52117.33,136452.5,652,0
72,131495.83,362348.74,814,0
69,40557.3,109236.6,318,0
74,28859.96,84730.84,322,0
20,53677.73,30531.78,712,1
54,33269.09,86484.35,329,0
68,49606.43,118035.05,407,0
24,57401.06,61518.78,666,1
38,48165.66,139237.29,580,0
26,50426.87,43893.81,427,0
56,53962.53,118656.85,528,0
35,108940.42,115719.29,410,0
21,43197.61,68185.33,435,0
42,52245.93,120055.9,661,0
31,75616.1,144299.09,485,0
67,62038.99,97323.96,428,0
75,40982.29,53926.39,560,0
26,76951.58,200008.64,814,0
43,31709.66,27255.59,748,1
70,43766.56,68943.59,403,0
19,33338.12,91993.0,782,0
37,65387.56,170963.87,523,0
45,88858.45,133496.88,790,1
64,54812.2,131975.22,772,0
24,50900.75,130199.14,309,0
61,31650.07,86158.41,704,0
25,34500.34,64214.25,601,0
64,26994.0,27295.04,530,0
52,16508.97,18791.71,365,0
31,40315.17,49960.03,411,0
34,42232.59,83810.83,312,0
53,145280.43,84556.71,692,1
67,107088.06,223825.42,799,0
57,64719.65,91312.02,533,0
21,139001.31,172098.14,613,1
19,98267.81,265199.4,311,0
23,17965.63,29643.4,508,0
